latitude;longitude;heat_capacity_J_per_K
-51.0;-135.0;5.92732636e+18
-51.0;-129.0;5.92732636e+18
-51.0;-123.0;5.92732636e+18
-51.0;-117.0;5.92732636e+18
-51.0;-111.0;5.92732636e+18
-51.0;-105.0;5.92732636e+18
-51.0;-99.0;5.92732636e+18
-51.0;-93.0;5.92732636e+18
-51.0;-87.0;5.92732636e+18
-51.0;-81.0;5.92732636e+18
-51.0;-75.0;4.54725665028e+18
-51.0;-69.0;3.76021424288e+18
-51.0;-63.0;5.88705907404e+18
-51.0;-57.0;5.81018516448e+18
-51.0;-51.0;5.92732636e+18
-51.0;-45.0;5.92732636e+18
-51.0;-39.0;5.92732636e+18
-51.0;-33.0;5.92732636e+18
-51.0;-27.0;5.92732636e+18
-51.0;-21.0;5.92732636e+18
-51.0;-15.0;5.92732636e+18
-51.0;-9.0;5.92732636e+18
-51.0;-3.0;5.92732636e+18
-51.0;3.0;5.92732636e+18
-51.0;9.0;5.92732636e+18
-51.0;15.0;5.92732636e+18
-51.0;21.0;5.92732636e+18
-51.0;27.0;5.92732636e+18
-51.0;33.0;5.92732636e+18
-51.0;39.0;5.92732636e+18
-51.0;45.0;5.92732636e+18
-51.0;51.0;5.92732636e+18
-51.0;57.0;5.92732636e+18
-51.0;63.0;5.92732636e+18
-51.0;69.0;5.835809801e+18
-51.0;75.0;5.92000503528e+18
-51.0;81.0;5.92732636e+18
-51.0;87.0;5.92732636e+18
-51.0;93.0;5.92732636e+18
-51.0;99.0;5.92732636e+18
-51.0;105.0;5.92732636e+18
-51.0;111.0;5.92732636e+18
-51.0;117.0;5.92732636e+18
-51.0;123.0;5.92732636e+18
-51.0;129.0;5.92732636e+18
-51.0;135.0;5.92732636e+18
-51.0;141.0;5.92732636e+18
-51.0;147.0;5.92732636e+18
-51.0;153.0;5.92732636e+18
-51.0;159.0;5.92732636e+18
-51.0;165.0;5.92000503528e+18
-51.0;171.0;5.92732636e+18
-51.0;177.0;5.92732636e+18
-45.0;-177.0;5.91634437292e+18
-45.0;-171.0;5.92732636e+18
-45.0;-165.0;5.92732636e+18
-45.0;-159.0;5.92732636e+18
-45.0;-153.0;5.92732636e+18
-45.0;-147.0;5.92732636e+18
-45.0;-141.0;5.92732636e+18
-45.0;-135.0;5.92732636e+18
-45.0;-129.0;5.92732636e+18
-45.0;-123.0;5.92732636e+18
-45.0;-117.0;5.92732636e+18
-45.0;-111.0;5.92732636e+18
-45.0;-105.0;5.92732636e+18
-45.0;-99.0;5.92732636e+18
-45.0;-93.0;5.92732636e+18
-45.0;-87.0;5.92732636e+18
-45.0;-81.0;5.92732636e+18
-45.0;-75.0;4.744932417719999e+18
-45.0;-69.0;2.55219566408e+18
-45.0;-63.0;5.5795634358e+18
-45.0;-57.0;5.92732636e+18
-45.0;-51.0;5.92732636e+18
-45.0;-45.0;5.92732636e+18
-45.0;-39.0;5.92732636e+18
-45.0;-33.0;5.92732636e+18
-45.0;-27.0;5.92732636e+18
-45.0;-21.0;5.92732636e+18
-45.0;-15.0;5.92732636e+18
-45.0;-9.0;5.92732636e+18
-45.0;-3.0;5.92732636e+18
-45.0;3.0;5.92732636e+18
-45.0;9.0;5.92732636e+18
-45.0;15.0;5.92732636e+18
-45.0;21.0;5.92732636e+18
-45.0;27.0;5.92732636e+18
-45.0;33.0;5.92732636e+18
-45.0;39.0;5.92366569764e+18
-45.0;45.0;5.92732636e+18
-45.0;51.0;5.92366569764e+18
-45.0;57.0;5.92732636e+18
-45.0;63.0;5.92732636e+18
-45.0;69.0;5.92732636e+18
-45.0;75.0;5.92732636e+18
-45.0;81.0;5.92732636e+18
-45.0;87.0;5.92732636e+18
-45.0;93.0;5.92732636e+18
-45.0;99.0;5.92732636e+18
-45.0;105.0;5.92732636e+18
-45.0;111.0;5.92732636e+18
-45.0;117.0;5.92732636e+18
-45.0;123.0;5.92732636e+18
-45.0;129.0;5.92732636e+18
-45.0;135.0;5.92732636e+18
-45.0;141.0;5.92732636e+18
-45.0;147.0;5.58322409816e+18
-45.0;153.0;5.92732636e+18
-45.0;159.0;5.92732636e+18
-45.0;165.0;5.73331125492e+18
-45.0;171.0;4.64975519636e+18
-45.0;177.0;5.92732636e+18
-39.0;-177.0;5.92732636e+18
-39.0;-171.0;5.92732636e+18
-39.0;-165.0;5.92732636e+18
-39.0;-159.0;5.92732636e+18
-39.0;-153.0;5.92732636e+18
-39.0;-147.0;5.92732636e+18
-39.0;-141.0;5.92732636e+18
-39.0;-135.0;5.92732636e+18
-39.0;-129.0;5.92732636e+18
-39.0;-123.0;5.92732636e+18
-39.0;-117.0;5.92732636e+18
-39.0;-111.0;5.92732636e+18
-39.0;-105.0;5.92732636e+18
-39.0;-99.0;5.92732636e+18
-39.0;-93.0;5.92732636e+18
-39.0;-87.0;5.92732636e+18
-39.0;-81.0;5.92732636e+18
-39.0;-75.0;5.0853740172e+18
-39.0;-69.0;2.27764598708e+18
-39.0;-63.0;3.24040018776e+18
-39.0;-57.0;5.17322991384e+18
-39.0;-51.0;5.92732636e+18
-39.0;-45.0;5.92732636e+18
-39.0;-39.0;5.92732636e+18
-39.0;-33.0;5.92732636e+18
-39.0;-27.0;5.92732636e+18
-39.0;-21.0;5.92732636e+18
-39.0;-15.0;5.92732636e+18
-39.0;-9.0;5.92732636e+18
-39.0;-3.0;5.92732636e+18
-39.0;3.0;5.92732636e+18
-39.0;9.0;5.92732636e+18
-39.0;15.0;5.92732636e+18
-39.0;21.0;5.92732636e+18
-39.0;27.0;5.92732636e+18
-39.0;33.0;5.92732636e+18
-39.0;39.0;5.92732636e+18
-39.0;45.0;5.92732636e+18
-39.0;51.0;5.92732636e+18
-39.0;57.0;5.92732636e+18
-39.0;63.0;5.92732636e+18
-39.0;69.0;5.92732636e+18
-39.0;75.0;5.92732636e+18
-39.0;81.0;5.92732636e+18
-39.0;87.0;5.92732636e+18
-39.0;93.0;5.92732636e+18
-39.0;99.0;5.92732636e+18
-39.0;105.0;5.92732636e+18
-39.0;111.0;5.92732636e+18
-39.0;117.0;5.92732636e+18
-39.0;123.0;5.92732636e+18
-39.0;129.0;5.92732636e+18
-39.0;135.0;5.92366569764e+18
-39.0;141.0;4.94260818516e+18
-39.0;147.0;4.19217240136e+18
-39.0;153.0;5.92000503528e+18
-39.0;159.0;5.92732636e+18
-39.0;165.0;5.92732636e+18
-39.0;171.0;5.6893833066e+18
-39.0;177.0;4.83644897672e+18
-33.0;-177.0;5.92732636e+18
-33.0;-171.0;5.92732636e+18
-33.0;-165.0;5.92732636e+18
-33.0;-159.0;5.92732636e+18
-33.0;-153.0;5.92732636e+18
-33.0;-147.0;5.92732636e+18
