Latitude,Longitude,Power_W_m2
-87.0,-177.0,17.068526594659964
-87.0,-171.0,18.233982914971172
-87.0,-165.0,18.623892331461867
-87.0,-159.0,18.233982914971172
-87.0,-153.0,17.068526594659964
-87.0,-147.0,15.140292353860954
-87.0,-141.0,12.47040633042533
-87.0,-135.0,9.088120354335416
-87.0,-129.0,5.030491458534073
-87.0,-123.0,0.341975874317151
-87.0,-117.0,0.0
-87.0,-111.0,0.0
-87.0,-105.0,0.0
-87.0,-99.0,0.0
-87.0,-93.0,0.0
-87.0,-87.0,0.0
-87.0,-81.0,0.0
-87.0,-75.0,0.0
-87.0,-69.0,0.0
-87.0,-63.0,0.0
-87.0,-57.0,0.0
-87.0,-51.0,0.0
-87.0,-45.0,0.0
-87.0,-39.0,0.0
-87.0,-33.0,0.0
-87.0,-27.0,0.0
-87.0,-21.0,0.0
-87.0,-15.0,0.0
-87.0,-9.0,0.0
-87.0,-3.0,0.0
-87.0,3.0,0.0
-87.0,9.0,0.0
-87.0,15.0,0.0
-87.0,21.0,0.0
-87.0,27.0,0.0
-87.0,33.0,0.0
-87.0,39.0,0.0
-87.0,45.0,0.0
-87.0,51.0,0.0
-87.0,57.0,0.0
-87.0,63.0,0.0
-87.0,69.0,0.0
-87.0,75.0,0.0
-87.0,81.0,0.0
-87.0,87.0,0.0
-87.0,93.0,0.0
-87.0,99.0,0.0
-87.0,105.0,0.0
-87.0,111.0,0.0
-87.0,117.0,0.0
-87.0,123.0,0.0
-87.0,129.0,0.0
-87.0,135.0,0.0
-87.0,141.0,0.0
-87.0,147.0,0.0
-87.0,153.0,0.341975874317151
-87.0,159.0,5.0304914585340645
-87.0,165.0,9.088120354335388
-87.0,171.0,12.47040633042534
-87.0,177.0,15.140292353860954
-81.0,-177.0,156.12273080397563
-81.0,-171.0,159.6063307815765
-81.0,-165.0,160.77178710188772
-81.0,-159.0,159.6063307815765
-81.0,-153.0,156.12273080397563
-81.0,-147.0,150.3591542194298
-81.0,-141.0,142.37874797910524
-81.0,-135.0,132.26894708377841
