Latitude,Longitude,Power_W_m2
-87.0,-177.0,506.2495285531406
-87.0,-171.0,507.3529492226634
-87.0,-165.0,507.7221042925699
-87.0,-159.0,507.3529492226634
-87.0,-153.0,506.2495285531406
-87.0,-147.0,504.4239315917623
-87.0,-141.0,501.89615996086815
-87.0,-135.0,498.6939084554165
-87.0,-129.0,494.85226161301506
-87.0,-123.0,490.41330932038574
-87.0,-117.0,485.4256856677569
-87.0,-111.0,479.94403610359416
-87.0,-105.0,474.0284187276314
-87.0,-99.0,467.74364628176215
-87.0,-93.0,461.15857604807655
-87.0,-87.0,454.34535543406946
-87.0,-81.0,447.378631510546
-87.0,-75.0,440.3347331626929
-87.0,-69.0,433.2908348148398
-87.0,-63.0,426.3241108913163
-87.0,-57.0,419.5108902773092
-87.0,-51.0,412.9258200436236
-87.0,-45.0,406.6410475977544
-87.0,-39.0,400.7254302217916
-87.0,-33.0,395.24378065762886
-87.0,-27.0,390.25615700500003
-87.0,-21.0,385.8172047123707
-87.0,-15.0,381.9755578699693
-87.0,-9.0,378.7733063645176
-87.0,-3.0,376.2455347336235
-87.0,3.0,374.4199377722452
-87.0,9.0,373.31651710272234
-87.0,15.0,372.9473620328159
-87.0,21.0,373.31651710272234
-87.0,27.0,374.4199377722452
-87.0,33.0,376.2455347336235
-87.0,39.0,378.7733063645176
-87.0,45.0,381.9755578699693
-87.0,51.0,385.8172047123707
-87.0,57.0,390.25615700500003
-87.0,63.0,395.2437806576289
-87.0,69.0,400.7254302217916
-87.0,75.0,406.6410475977544
-87.0,81.0,412.9258200436236
-87.0,87.0,419.5108902773092
-87.0,93.0,426.32411089131625
-87.0,99.0,433.2908348148398
-87.0,105.0,440.3347331626929
-87.0,111.0,447.3786315105459
-87.0,117.0,454.34535543406946
-87.0,123.0,461.15857604807655
-87.0,129.0,467.7436462817621
-87.0,135.0,474.0284187276314
-87.0,141.0,479.94403610359416
-87.0,147.0,485.42568566775685
-87.0,153.0,490.41330932038574
-87.0,159.0,494.85226161301506
-87.0,165.0,498.69390845541636
-87.0,171.0,501.89615996086815
-87.0,177.0,504.4239315917623
