Latitude,Longitude,Power_W_m2
-87.0,-177.0,296.6878294890781
-87.0,-171.0,295.9193996819589
-87.0,-165.0,294.3909591454916
-87.0,-159.0,292.1192537940404
-87.0,-153.0,289.12917290682077
-87.0,-147.0,285.45347643574775
-87.0,-141.0,281.1324360805473
-87.0,-135.0,276.21339406358686
-87.0,-129.0,270.75024443858
-87.0,-123.0,264.8028426160557
-87.0,-117.0,258.43634957495567
-87.0,-111.0,251.72051794531225
-87.0,-105.0,244.728927783838
-87.0,-99.0,237.5381804154264
-87.0,-93.0,230.22705917300632
-87.0,-87.0,222.87566623086022
-87.0,-81.0,215.5645449884402
-87.0,-75.0,208.3737976200286
-87.0,-69.0,201.38220745855435
-87.0,-63.0,194.66637582891093
-87.0,-57.0,188.29988278781082
-87.0,-51.0,182.3524809652866
-87.0,-45.0,176.88933134027968
-87.0,-39.0,171.9702893233193
-87.0,-33.0,167.64924896811885
-87.0,-27.0,163.97355249704583
-87.0,-21.0,160.98347160982618
-87.0,-15.0,158.711766258375
-87.0,-9.0,157.18332572190766
-87.0,-3.0,156.41489591478847
-87.0,3.0,156.41489591478847
-87.0,9.0,157.18332572190766
-87.0,15.0,158.711766258375
-87.0,21.0,160.98347160982618
-87.0,27.0,163.97355249704583
-87.0,33.0,167.64924896811885
-87.0,39.0,171.97028932331926
-87.0,45.0,176.88933134027974
-87.0,51.0,182.35248096528662
-87.0,57.0,188.29988278781082
-87.0,63.0,194.66637582891093
-87.0,69.0,201.38220745855438
-87.0,75.0,208.37379762002857
-87.0,81.0,215.5645449884402
-87.0,87.0,222.87566623086028
-87.0,93.0,230.22705917300632
-87.0,99.0,237.5381804154264
-87.0,105.0,244.728927783838
-87.0,111.0,251.72051794531225
-87.0,117.0,258.43634957495567
-87.0,123.0,264.8028426160558
-87.0,129.0,270.75024443858
-87.0,135.0,276.2133940635869
-87.0,141.0,281.13243608054734
-87.0,147.0,285.45347643574775
-87.0,153.0,289.12917290682077
-87.0,159.0,292.1192537940404
-87.0,165.0,294.3909591454916
-87.0,171.0,295.9193996819589
