Latitude,Longitude,Power_W_m2
-87.0,-177.0,0.0
-87.0,-171.0,0.0
-87.0,-165.0,0.0
-87.0,-159.0,2.7620397433124353
-87.0,-153.0,7.141113351508765
-87.0,-147.0,10.86617585615406
-87.0,-141.0,13.896414692927973
-87.0,-135.0,16.198629931016573
-87.0,-129.0,17.74759801850185
-87.0,-123.0,18.5263481368749
-87.0,-117.0,18.5263481368749
-87.0,-111.0,17.74759801850185
-87.0,-105.0,16.198629931016573
-87.0,-99.0,13.896414692927973
-87.0,-93.0,10.86617585615406
-87.0,-87.0,7.141113351508765
-87.0,-81.0,2.7620397433124353
-87.0,-75.0,0.0
-87.0,-69.0,0.0
-87.0,-63.0,0.0
-87.0,-57.0,0.0
-87.0,-51.0,0.0
-87.0,-45.0,0.0
-87.0,-39.0,0.0
-87.0,-33.0,0.0
-87.0,-27.0,0.0
-87.0,-21.0,0.0
-87.0,-15.0,0.0
-87.0,-9.0,0.0
-87.0,-3.0,0.0
-87.0,3.0,0.0
-87.0,9.0,0.0
-87.0,15.0,0.0
-87.0,21.0,0.0
-87.0,27.0,0.0
-87.0,33.0,0.0
-87.0,39.0,0.0
-87.0,45.0,0.0
-87.0,51.0,0.0
-87.0,57.0,0.0
-87.0,63.0,0.0
-87.0,69.0,0.0
-87.0,75.0,0.0
-87.0,81.0,0.0
-87.0,87.0,0.0
-87.0,93.0,0.0
-87.0,99.0,0.0
-87.0,105.0,0.0
-87.0,111.0,0.0
-87.0,117.0,0.0
-87.0,123.0,0.0
-87.0,129.0,0.0
-87.0,135.0,0.0
-87.0,141.0,0.0
-87.0,147.0,0.0
-87.0,153.0,0.0
-87.0,159.0,0.0
-87.0,165.0,0.0
-87.0,171.0,0.0
-87.0,177.0,0.0
-81.0,-177.0,63.894609621348096
-81.0,-171.0,81.91040673331138
-81.0,-165.0,98.45931299077515
-81.0,-159.0,113.36001511370135
-81.0,-153.0,126.44925789145883
-81.0,-147.0,137.58363284107435
-81.0,-141.0,146.64114942058214
-81.0,-135.0,153.5225715829299
-81.0,-129.0,158.15250502687684
-81.0,-123.0,160.48022323273514
-81.0,-117.0,160.48022323273514
-81.0,-111.0,158.15250502687684
-81.0,-105.0,153.5225715829299
-81.0,-99.0,146.64114942058214
-81.0,-93.0,137.58363284107435
-81.0,-87.0,126.44925789145883
-81.0,-81.0,113.36001511370135
-81.0,-75.0,98.45931299077515
-81.0,-69.0,81.91040673331138
-81.0,-63.0,63.894609621348096
-81.0,-57.0,44.60930649809188
-81.0,-51.0,24.265791180270284
-81.0,-45.0,3.0869514788595533
-81.0,-39.0,0.0
-81.0,-33.0,0.0
-81.0,-27.0,0.0
-81.0,-21.0,0.0
-81.0,-15.0,0.0
-81.0,-9.0,0.0
-81.0,-3.0,0.0
-81.0,3.0,0.0
-81.0,9.0,0.0
-81.0,15.0,0.0
-81.0,21.0,0.0
-81.0,27.0,0.0
-81.0,33.0,0.0
-81.0,39.0,0.0
-81.0,45.0,0.0
-81.0,51.0,0.0
-81.0,57.0,0.0
-81.0,63.0,0.0
-81.0,69.0,0.0
-81.0,75.0,0.0
-81.0,81.0,0.0
-81.0,87.0,0.0
-81.0,93.0,0.0
-81.0,99.0,0.0
-81.0,105.0,0.0
-81.0,111.0,0.0
-81.0,117.0,0.0
-81.0,123.0,0.0
-81.0,129.0,0.0
-81.0,135.0,0.0
-81.0,141.0,0.0
-81.0,147.0,0.0
-81.0,153.0,0.0
-81.0,159.0,0.0
-81.0,165.0,3.086951478859459
-81.0,171.0,24.265791180270284
-81.0,177.0,44.60930649809185
-75.0,-177.0,140.8760430430294
-75.0,-171.0,170.68297468101554
-75.0,-165.0,198.06295206609101
-75.0,-159.0,222.71599443639636
-75.0,-153.0,244.37199790074172
-75.0,-147.0,262.7936947533617
-75.0,-141.0,277.7792530285511
-75.0,-135.0,289.1644878139172
-75.0,-129.0,296.8246600946381
-75.0,-123.0,300.67584342021183
-75.0,-117.0,300.67584342021183
-75.0,-111.0,296.8246600946381
-75.0,-105.0,289.1644878139172
-75.0,-99.0,277.7792530285511
-75.0,-93.0,262.7936947533617
-75.0,-87.0,244.37199790074172
-75.0,-81.0,222.71599443639636
-75.0,-75.0,198.06295206609101
-75.0,-69.0,170.68297468101554
-75.0,-63.0,140.8760430430294
-75.0,-57.0,108.96872813265996
-75.0,-51.0,75.31061316910001
-75.0,-45.0,40.27046350330366
-75.0,-39.0,4.232186347632211
-75.0,-33.0,0.0
-75.0,-27.0,0.0
-75.0,-21.0,0.0
-75.0,-15.0,0.0
-75.0,-9.0,0.0
-75.0,-3.0,0.0
-75.0,3.0,0.0
-75.0,9.0,0.0
-75.0,15.0,0.0
-75.0,21.0,0.0
-75.0,27.0,0.0
-75.0,33.0,0.0
-75.0,39.0,0.0
-75.0,45.0,0.0
-75.0,51.0,0.0
-75.0,57.0,0.0
-75.0,63.0,0.0
-75.0,69.0,0.0
-75.0,75.0,0.0
-75.0,81.0,0.0
-75.0,87.0,0.0
-75.0,93.0,0.0
-75.0,99.0,0.0
-75.0,105.0,0.0
-75.0,111.0,0.0
-75.0,117.0,0.0
-75.0,123.0,0.0
-75.0,129.0,0.0
-75.0,135.0,0.0
-75.0,141.0,0.0
-75.0,147.0,0.0
-75.0,153.0,0.0
-75.0,159.0,4.232186347632125
-75.0,165.0,40.27046350330349
-75.0,171.0,75.31061316910001
-75.0,177.0,108.96872813265989
-69.0,-177.0,216.31400905692422
-69.0,-171.0,257.58550424040595
-69.0,-165.0,295.4965719912337
-69.0,-159.0,329.6318507177283
-69.0,-153.0,359.61734716289624
-69.0,-147.0,385.12453395281545
-69.0,-141.0,405.87394901129375
-69.0,-135.0,421.63825740485623
-69.0,-129.0,432.24474207184926
-69.0,-123.0,437.57719614671174
-69.0,-117.0,437.57719614671174
-69.0,-111.0,432.24474207184926
-69.0,-105.0,421.63825740485623
-69.0,-99.0,405.87394901129375
-69.0,-93.0,385.12453395281545
-69.0,-87.0,359.61734716289624
-69.0,-81.0,329.6318507177283
-69.0,-75.0,295.4965719912337
-69.0,-69.0,257.58550424040595
-69.0,-63.0,216.31400905692422
-69.0,-57.0,172.13426557863434
-69.0,-51.0,125.53031632029017
-69.0,-45.0,77.01276390246936
-69.0,-39.0,27.113176782412292
-69.0,-33.0,0.0
-69.0,-27.0,0.0
-69.0,-21.0,0.0
-69.0,-15.0,0.0
-69.0,-9.0,0.0
-69.0,-3.0,0.0
-69.0,3.0,0.0
-69.0,9.0,0.0
-69.0,15.0,0.0
-69.0,21.0,0.0
-69.0,27.0,0.0
-69.0,33.0,0.0
-69.0,39.0,0.0
-69.0,45.0,0.0
-69.0,51.0,0.0
-69.0,57.0,0.0
-69.0,63.0,0.0
-69.0,69.0,0.0
-69.0,75.0,0.0
-69.0,81.0,0.0
-69.0,87.0,0.0
-69.0,93.0,0.0
-69.0,99.0,0.0
-69.0,105.0,0.0
