Latitude,Longitude,Power_W_m2
-87.0,-177.0,528.4946763033806
-87.0,-171.0,521.6712782632214
-87.0,-165.0,514.9602239838564
-87.0,-159.0,508.4350411803486
-87.0,-153.0,502.1672211209756
-87.0,-147.0,496.2254353539337
-87.0,-141.0,490.6747833274849
-87.0,-135.0,485.5760791467799
-87.0,-129.0,480.98518528179477
-87.0,-123.0,476.9524005264206
-87.0,-117.0,473.5219089143518
-87.0,-111.0,470.7312956295668
-87.0,-105.0,468.61113521518683
-87.0,-99.0,467.1846565923841
-87.0,-93.0,466.4674885594598
-87.0,-87.0,466.4674885594598
-87.0,-81.0,467.1846565923841
-87.0,-75.0,468.61113521518683
-87.0,-69.0,470.7312956295668
-87.0,-63.0,473.5219089143519
-87.0,-57.0,476.9524005264206
-87.0,-51.0,480.98518528179477
-87.0,-45.0,485.5760791467799
-87.0,-39.0,490.674783327485
-87.0,-33.0,496.2254353539337
-87.0,-27.0,502.1672211209756
-87.0,-21.0,508.4350411803486
-87.0,-15.0,514.9602239838564
-87.0,-9.0,521.6712782632214
-87.0,-3.0,528.4946763033806
-87.0,3.0,535.3556595275182
-87.0,9.0,542.1790575676775
-87.0,15.0,548.8901118470425
-87.0,21.0,555.4152946505503
-87.0,27.0,561.6831147099233
-87.0,33.0,567.6249004769653
-87.0,39.0,573.175552503414
-87.0,45.0,578.274256684119
-87.0,51.0,582.8651505491041
-87.0,57.0,586.8979353044783
-87.0,63.0,590.3284269165471
-87.0,69.0,593.1190402013322
-87.0,75.0,595.2392006157121
-87.0,81.0,596.6656792385148
-87.0,87.0,597.3828472714391
-87.0,93.0,597.3828472714391
-87.0,99.0,596.6656792385148
-87.0,105.0,595.2392006157121
-87.0,111.0,593.1190402013322
-87.0,117.0,590.3284269165471
-87.0,123.0,586.8979353044783
-87.0,129.0,582.8651505491041
-87.0,135.0,578.274256684119
-87.0,141.0,573.175552503414
-87.0,147.0,567.6249004769653
-87.0,153.0,561.6831147099233
-87.0,159.0,555.4152946505503
-87.0,165.0,548.8901118470425
-87.0,171.0,542.1790575676775
-87.0,177.0,535.3556595275182
-81.0,-177.0,515.8433948110422
-81.0,-171.0,495.4479592673805
-81.0,-165.0,475.38832414434853
-81.0,-159.0,455.88426700210266
-81.0,-153.0,437.14947837218006
-81.0,-147.0,419.3892205193164
-81.0,-141.0,402.7980785451206
-81.0,-135.0,387.5578284729818
-81.0,-129.0,373.83544567191757
-81.0,-123.0,361.7812754394895
-81.0,-117.0,351.52738578726155
-81.0,-111.0,343.18612047602767
-81.0,-105.0,336.84886815405997
-81.0,-99.0,332.5850610839531
-81.0,-93.0,330.44141442822615
-81.0,-87.0,330.44141442822615
-81.0,-81.0,332.5850610839531
-81.0,-75.0,336.84886815406
-81.0,-69.0,343.18612047602767
-81.0,-63.0,351.52738578726155
-81.0,-57.0,361.7812754394895
-81.0,-51.0,373.83544567191757
-81.0,-45.0,387.55782847298184
-81.0,-39.0,402.7980785451207
-81.0,-33.0,419.3892205193164
-81.0,-27.0,437.14947837218006
-81.0,-21.0,455.8842670021027
-81.0,-15.0,475.3883241443485
-81.0,-9.0,495.4479592673805
-81.0,-3.0,515.8433948110423
-81.0,3.0,536.3511741154983
-81.0,9.0,556.7466096591601
-81.0,15.0,576.806244782192
-81.0,21.0,596.3103019244379
-81.0,27.0,615.0450905543605
-81.0,33.0,632.8053484072242
-81.0,39.0,649.39649038142
-81.0,45.0,664.6367404535588
-81.0,51.0,678.359123254623
-81.0,57.0,690.4132934870511
-81.0,63.0,700.6671831392791
-81.0,69.0,709.0084484505129
-81.0,75.0,715.3457007724805
-81.0,81.0,719.6095078425875
-81.0,87.0,721.7531544983145
-81.0,93.0,721.7531544983145
-81.0,99.0,719.6095078425875
-81.0,105.0,715.3457007724805
-81.0,111.0,709.0084484505129
-81.0,117.0,700.6671831392791
-81.0,123.0,690.4132934870511
-81.0,129.0,678.359123254623
-81.0,135.0,664.6367404535588
-81.0,141.0,649.39649038142
-81.0,147.0,632.8053484072242
-81.0,153.0,615.0450905543605
-81.0,159.0,596.3103019244379
-81.0,165.0,576.806244782192
-81.0,171.0,556.7466096591601
-81.0,177.0,536.3511741154983
-75.0,-177.0,497.54042513798373
-75.0,-171.0,463.7964087506551
-75.0,-165.0,430.6079703441127
-75.0,-159.0,398.33872939466556
-75.0,-153.0,367.3422344589293
-75.0,-147.0,337.9580896218529
-75.0,-141.0,310.50823372329893
-75.0,-135.0,285.2934131287441
-75.0,-129.0,262.5898866891624
-75.0,-123.0,242.64639899124424
-75.0,-117.0,225.6814550596512
-75.0,-111.0,211.88092637024062
-75.0,-105.0,201.39601440327985
-75.0,-99.0,194.34159404838786
-75.0,-93.0,190.79495501120522
-75.0,-87.0,190.79495501120522
-75.0,-81.0,194.3415940483879
-75.0,-75.0,201.39601440327985
-75.0,-69.0,211.88092637024062
-75.0,-63.0,225.68145505965126
-75.0,-57.0,242.6463989912443
-75.0,-51.0,262.58988668916237
-75.0,-45.0,285.29341312874413
-75.0,-39.0,310.50823372329916
-75.0,-33.0,337.9580896218528
-75.0,-27.0,367.3422344589293
-75.0,-21.0,398.33872939466573
-75.0,-15.0,430.6079703441126
-75.0,-9.0,463.79640875065513
-75.0,-3.0,497.5404251379839
-75.0,3.0,531.47031300117
-75.0,9.0,565.2143293884988
-75.0,15.0,598.4027677950412
-75.0,21.0,630.6720087444882
-75.0,27.0,661.6685036802246
-75.0,33.0,691.052648517301
-75.0,39.0,718.5025044158548
-75.0,45.0,743.7173250104097
-75.0,51.0,766.4208514499915
-75.0,57.0,786.3643391479096
-75.0,63.0,803.3292830795027
-75.0,69.0,817.1298117689132
-75.0,75.0,827.6147237358739
-75.0,81.0,834.6691440907659
-75.0,87.0,838.2157831279485
-75.0,93.0,838.2157831279485
-75.0,99.0,834.6691440907659
-75.0,105.0,827.6147237358739
-75.0,111.0,817.1298117689132
-75.0,117.0,803.3292830795027
-75.0,123.0,786.3643391479096
-75.0,129.0,766.4208514499915
-75.0,135.0,743.7173250104097
-75.0,141.0,718.5025044158548
-75.0,147.0,691.052648517301
-75.0,153.0,661.6685036802246
-75.0,159.0,630.6720087444882
-75.0,165.0,598.4027677950412
-75.0,171.0,565.2143293884988
-75.0,177.0,531.47031300117
-69.0,-177.0,473.786298450086
-69.0,-171.0,427.0634077240193
-69.0,-165.0,381.1097855102758
-69.0,-159.0,336.4289093102423
-69.0,-153.0,293.5103121536418
-69.0,-147.0,252.8242191722153
-69.0,-141.0,214.8163957147794
-69.0,-135.0,179.90326344878284
-69.0,-129.0,148.46733795737413
-69.0,-123.0,120.85303781862724
-69.0,-117.0,97.36291108352647
-69.0,-111.0,78.25432049620647
-69.0,-105.0,63.7366237738716
-69.0,-99.0,53.96887983983509
-69.0,-93.0,49.05810614067013
-69.0,-87.0,49.05810614067013
-69.0,-81.0,53.96887983983509
-69.0,-75.0,63.73662377387168
-69.0,-69.0,78.25432049620647
-69.0,-63.0,97.36291108352654
-69.0,-57.0,120.85303781862731
-69.0,-51.0,148.46733795737404
-69.0,-45.0,179.9032634487829
-69.0,-39.0,214.81639571477967
-69.0,-33.0,252.82421917221524
-69.0,-27.0,293.51031215364185
-69.0,-21.0,336.4289093102425
-69.0,-15.0,381.1097855102757
-69.0,-9.0,427.06340772401944
-69.0,-3.0,473.78629845008624
-69.0,3.0,520.7665519202878
-69.0,9.0,567.4894426463546
-69.0,15.0,613.4430648600983
-69.0,21.0,658.1239410601315
-69.0,27.0,701.0425382167322
-69.0,33.0,741.7286311981587
-69.0,39.0,779.7364546555945
-69.0,45.0,814.6495869215911
-69.0,51.0,846.0855124130001
-69.0,57.0,873.6998125517467
-69.0,63.0,897.1899392868476
-69.0,69.0,916.2985298741676
-69.0,75.0,930.8162265965024
-69.0,81.0,940.5839705305389
-69.0,87.0,945.4947442297038
-69.0,93.0,945.4947442297038
-69.0,99.0,940.5839705305389
-69.0,105.0,930.8162265965024
-69.0,111.0,916.2985298741676
-69.0,117.0,897.1899392868476
-69.0,123.0,873.6998125517467
-69.0,129.0,846.0855124130001
-69.0,135.0,814.6495869215911
-69.0,141.0,779.7364546555945
-69.0,147.0,741.7286311981587
-69.0,153.0,701.0425382167322
-69.0,159.0,658.1239410601315
-69.0,165.0,613.4430648600983
-69.0,171.0,567.4894426463546
-69.0,177.0,520.7665519202878
-63.0,-177.0,444.8412699302122
-63.0,-171.0,385.65141063359584
-63.0,-165.0,327.4360821140386
-63.0,-159.0,270.8331036931408
-63.0,-153.0,216.46262944741767
-63.0,-147.0,164.9203536704579
-63.0,-141.0,116.77098432158813
-63.0,-135.0,72.54205596729877
-63.0,-129.0,32.71815000213722
-63.0,-123.0,0.0
-63.0,-117.0,0.0
-63.0,-111.0,0.0
-63.0,-105.0,0.0
