Latitude,Longitude,Power_W_m2
-87.0,-177.0,366.23419242296035
-87.0,-171.0,360.6028197105002
-87.0,-165.0,354.5256259974724
-87.0,-159.0,348.0691942899313
-87.0,-153.0,341.30426260475997
-87.0,-147.0,334.3049489491541
-87.0,-141.0,327.147939268225
-87.0,-135.0,319.9116472577376
-87.0,-129.0,312.6753552472502
-87.0,-123.0,305.51834556632105
-87.0,-117.0,298.5190319107152
-87.0,-111.0,291.7541002255439
-87.0,-105.0,285.29766851800275
-87.0,-99.0,279.2204748049749
-87.0,-93.0,273.58910209251485
-87.0,-87.0,268.46524887850063
-87.0,-81.0,263.9050531709804
-87.0,-75.0,259.95847742840795
-87.0,-69.0,256.668761160493
-87.0,-63.0,254.0719471870842
-87.0,-57.0,252.19648674549248
-87.0,-51.0,251.06292777278122
-87.0,-45.0,250.68368977826796
-87.0,-39.0,251.06292777278122
-87.0,-33.0,252.19648674549242
-87.0,-27.0,254.0719471870842
-87.0,-21.0,256.66876116049303
-87.0,-15.0,259.95847742840795
-87.0,-9.0,263.9050531709804
-87.0,-3.0,268.4652488785007
-87.0,3.0,273.5891020925148
-87.0,9.0,279.22047480497497
-87.0,15.0,285.2976685180028
-87.0,21.0,291.7541002255439
-87.0,27.0,298.5190319107152
-87.0,33.0,305.5183455663211
-87.0,39.0,312.6753552472502
-87.0,45.0,319.9116472577376
-87.0,51.0,327.147939268225
-87.0,57.0,334.3049489491541
-87.0,63.0,341.30426260475997
-87.0,69.0,348.0691942899313
-87.0,75.0,354.5256259974724
-87.0,81.0,360.6028197105003
-87.0,87.0,366.2341924229604
-87.0,93.0,371.35804563697457
-87.0,99.0,375.9182413444948
-87.0,105.0,379.86481708706725
-87.0,111.0,383.1545333549822
-87.0,117.0,385.75134732839103
-87.0,123.0,387.6268077699828
-87.0,129.0,388.76036674269403
-87.0,135.0,389.13960473720726
-87.0,141.0,388.76036674269403
-87.0,147.0,387.6268077699828
-87.0,153.0,385.75134732839103
-87.0,159.0,383.1545333549822
-87.0,165.0,379.86481708706725
-87.0,171.0,375.9182413444948
-87.0,177.0,371.35804563697457
-81.0,-177.0,454.8667443017878
-81.0,-171.0,438.03432466228577
-81.0,-165.0,419.8693265292568
-81.0,-159.0,400.5707694235165
-81.0,-153.0,380.3500923751982
-81.0,-147.0,359.428837353492
-81.0,-141.0,338.0362220064696
-81.0,-135.0,316.40662830456574
-81.0,-129.0,294.77703460266196
-81.0,-123.0,273.3844192556395
-81.0,-117.0,252.46316423393333
-81.0,-111.0,232.2424871856151
-81.0,-105.0,212.94393007987472
-81.0,-99.0,194.77893194684577
-81.0,-93.0,177.9465123073437
-81.0,-87.0,162.6310906733492
-81.0,-81.0,149.00046600924236
-81.0,-75.0,137.20397829123473
-81.0,-69.0,127.37087230733853
-81.0,-63.0,119.60888162442302
-81.0,-57.0,114.00304823671128
-81.0,-51.0,110.61479082789505
-81.0,-45.0,109.48123185518382
-81.0,-39.0,110.61479082789505
-81.0,-33.0,114.00304823671128
-81.0,-27.0,119.60888162442302
-81.0,-21.0,127.37087230733853
-81.0,-15.0,137.2039782912347
-81.0,-9.0,149.0004660092424
-81.0,-3.0,162.63109067334923
-81.0,3.0,177.9465123073437
-81.0,9.0,194.7789319468458
-81.0,15.0,212.94393007987483
-81.0,21.0,232.24248718561506
-81.0,27.0,252.46316423393338
-81.0,33.0,273.3844192556396
-81.0,39.0,294.7770346026619
-81.0,45.0,316.4066283045658
-81.0,51.0,338.03622200646964
-81.0,57.0,359.428837353492
-81.0,63.0,380.3500923751983
-81.0,69.0,400.57076942351654
-81.0,75.0,419.8693265292568
-81.0,81.0,438.03432466228577
-81.0,87.0,454.8667443017879
-81.0,93.0,470.18216593578234
-81.0,99.0,483.8127905998892
-81.0,105.0,495.60927831789695
-81.0,111.0,505.4423843017931
-81.0,117.0,513.2043749847086
-81.0,123.0,518.8102083724203
-81.0,129.0,522.1984657812366
-81.0,135.0,523.3320247539477
-81.0,141.0,522.1984657812366
-81.0,147.0,518.8102083724203
-81.0,153.0,513.2043749847086
-81.0,159.0,505.4423843017931
-81.0,165.0,495.60927831789695
-81.0,171.0,483.8127905998892
-81.0,177.0,470.18216593578234
-75.0,-177.0,538.5156809430591
-75.0,-171.0,510.6666338884958
-75.0,-165.0,480.61285085628145
-75.0,-159.0,448.68360738247503
-75.0,-153.0,415.2287269401999
-75.0,-147.0,380.61474820046527
-75.0,-141.0,345.22090915778404
-75.0,-135.0,309.43499211934534
-75.0,-129.0,273.6490750809067
-75.0,-123.0,238.25523603822546
-75.0,-117.0,203.64125729849084
-75.0,-111.0,170.18637685621576
-75.0,-105.0,138.25713338240934
-75.0,-99.0,108.20335035019495
-75.0,-93.0,80.35430329563161
-75.0,-87.0,55.01511220603681
-75.0,-81.0,32.46339856155491
-75.0,-75.0,12.94624365612437
-75.0,-69.0,0.0
-75.0,-63.0,0.0
-75.0,-57.0,0.0
-75.0,-51.0,0.0
-75.0,-45.0,0.0
-75.0,-39.0,0.0
-75.0,-33.0,0.0
-75.0,-27.0,0.0
-75.0,-21.0,0.0
-75.0,-15.0,12.94624365612433
-75.0,-9.0,32.463398561554946
-75.0,-3.0,55.01511220603685
-75.0,3.0,80.35430329563157
-75.0,9.0,108.20335035019502
-75.0,15.0,138.25713338240956
-75.0,21.0,170.18637685621567
-75.0,27.0,203.64125729849093
-75.0,33.0,238.2552360382256
-75.0,39.0,273.64907508090664
-75.0,45.0,309.43499211934545
-75.0,51.0,345.2209091577842
-75.0,57.0,380.61474820046527
-75.0,63.0,415.22872694020003
-75.0,69.0,448.6836073824752
-75.0,75.0,480.61285085628145
-75.0,81.0,510.6666338884959
-75.0,87.0,538.5156809430592
-75.0,93.0,563.854872032654
-75.0,99.0,586.4065856771359
-75.0,105.0,605.9237405825666
-75.0,111.0,622.1925027155746
-75.0,117.0,635.0346281137738
-75.0,123.0,644.3094157639139
-75.0,129.0,649.9152491516255
-75.0,135.0,651.7907095932173
-75.0,141.0,649.9152491516255
-75.0,147.0,644.3094157639139
-75.0,153.0,635.0346281137738
-75.0,159.0,622.1925027155746
-75.0,165.0,605.9237405825666
-75.0,171.0,586.4065856771359
-75.0,177.0,563.854872032654
-69.0,-177.0,616.2645270922674
-69.0,-171.0,577.7039726099603
-69.0,-165.0,536.0906802146199
-69.0,-159.0,491.88057384587006
-69.0,-153.0,445.55802868064757
-69.0,-147.0,397.6305642173977
-69.0,-141.0,348.62328378624625
-69.0,-135.0,299.0731214070304
-69.0,-129.0,249.52295902781455
-69.0,-123.0,200.5156785966631
-69.0,-117.0,152.58821413341323
-69.0,-111.0,106.26566896819067
-69.0,-105.0,62.055562599440975
-69.0,-99.0,20.44227020410052
-69.0,-93.0,0.0
-69.0,-87.0,0.0
-69.0,-81.0,0.0
-69.0,-75.0,0.0
-69.0,-69.0,0.0
-69.0,-63.0,0.0
-69.0,-57.0,0.0
-69.0,-51.0,0.0
-69.0,-45.0,0.0
-69.0,-39.0,0.0
-69.0,-33.0,0.0
-69.0,-27.0,0.0
-69.0,-21.0,0.0
-69.0,-15.0,0.0
-69.0,-9.0,0.0
-69.0,-3.0,0.0
-69.0,3.0,0.0
-69.0,9.0,20.442270204100634
-69.0,15.0,62.055562599441316
-69.0,21.0,106.2656689681906
-69.0,27.0,152.58821413341335
-69.0,33.0,200.51567859666332
-69.0,39.0,249.52295902781447
-69.0,45.0,299.0731214070305
-69.0,51.0,348.6232837862465
-69.0,57.0,397.6305642173977
-69.0,63.0,445.5580286806476
-69.0,69.0,491.8805738458704
-69.0,75.0,536.0906802146199
-69.0,81.0,577.7039726099604
-69.0,87.0,616.2645270922676
-69.0,93.0,651.3498661573185
-69.0,99.0,682.5755874882369
-69.0,105.0,709.5995755477194
-69.0,111.0,732.1257498674529
-69.0,117.0,749.9073089676856
-69.0,123.0,762.7494343658848
-69.0,129.0,770.5114250488001
-69.0,135.0,773.108239022209
-69.0,141.0,770.5114250488001
-69.0,147.0,762.7494343658848
-69.0,153.0,749.9073089676856
-69.0,159.0,732.1257498674529
-69.0,165.0,709.5995755477194
-69.0,171.0,682.5755874882369
-69.0,177.0,651.3498661573185
-63.0,-177.0,687.2614501210095
-63.0,-171.0,638.4118657151815
-63.0,-165.0,585.6949878963397
-63.0,-159.0,529.6883938095822
-63.0,-153.0,471.00570341985815
-63.0,-147.0,410.2898565632192
-63.0,-141.0,348.206068763434
-63.0,-135.0,285.4345429915058
-63.0,-129.0,222.6630172195776
-63.0,-123.0,160.5792294197924
-63.0,-117.0,99.86338256315345
-63.0,-111.0,41.180692173429414
-63.0,-105.0,0.0
-63.0,-99.0,0.0
-63.0,-93.0,0.0
-63.0,-87.0,0.0
-63.0,-81.0,0.0
-63.0,-75.0,0.0
-63.0,-69.0,0.0
-63.0,-63.0,0.0
-63.0,-57.0,0.0
-63.0,-51.0,0.0
-63.0,-45.0,0.0
-63.0,-39.0,0.0
-63.0,-33.0,0.0
-63.0,-27.0,0.0
-63.0,-21.0,0.0
-63.0,-15.0,0.0
-63.0,-9.0,0.0
-63.0,-3.0,0.0
-63.0,3.0,0.0
-63.0,9.0,0.0
-63.0,15.0,0.0
-63.0,21.0,41.1806921734293
-63.0,27.0,99.8633825631536
-63.0,33.0,160.57922941979265
-63.0,39.0,222.66301721957748
-63.0,45.0,285.43454299150596
-63.0,51.0,348.2060687634343
-63.0,57.0,410.2898565632193
-63.0,63.0,471.0057034198583
-63.0,69.0,529.6883938095825
-63.0,75.0,585.6949878963397
-63.0,81.0,638.4118657151818
-63.0,87.0,687.2614501210097
-63.0,93.0,731.7085348446407
-63.0,99.0,771.266148324692
-63.0,105.0,805.5008890699135
-63.0,111.0,834.0376740966202
-63.0,117.0,856.563848416354
-63.0,123.0,872.832610549362
-63.0,129.0,882.6657165332582
-63.0,135.0,885.9554328011732
-63.0,141.0,882.6657165332582
-63.0,147.0,872.832610549362
-63.0,153.0,856.563848416354
-63.0,159.0,834.0376740966202
-63.0,165.0,805.5008890699135
-63.0,171.0,771.266148324692
-63.0,177.0,731.7085348446407
-57.0,-177.0,750.7285928835214
-57.0,-171.0,692.1251848233559
-57.0,-165.0,628.8822987261116
-57.0,-159.0,561.6928368862942
-57.0,-153.0,491.29294110812094
-57.0,-147.0,418.453927381862
-57.0,-141.0,343.97383518444525
-57.0,-135.0,268.66868399194817
-57.0,-129.0,193.3635327994511
-57.0,-123.0,118.88344060203438
-57.0,-117.0,46.044426875775464
-57.0,-111.0,0.0
-57.0,-105.0,0.0
-57.0,-99.0,0.0
-57.0,-93.0,0.0
-57.0,-87.0,0.0
-57.0,-81.0,0.0
-57.0,-75.0,0.0
-57.0,-69.0,0.0
-57.0,-63.0,0.0
-57.0,-57.0,0.0
-57.0,-51.0,0.0
-57.0,-45.0,0.0
-57.0,-39.0,0.0
-57.0,-33.0,0.0
-57.0,-27.0,0.0
-57.0,-21.0,0.0
-57.0,-15.0,0.0
-57.0,-9.0,0.0
-57.0,-3.0,0.0
-57.0,3.0,0.0
-57.0,9.0,0.0
-57.0,15.0,0.0
-57.0,21.0,0.0
-57.0,27.0,46.04442687577561
-57.0,33.0,118.88344060203471
-57.0,39.0,193.36353279945095
-57.0,45.0,268.66868399194834
-57.0,51.0,343.97383518444565
-57.0,57.0,418.453927381862
-57.0,63.0,491.2929411081211
-57.0,69.0,561.6928368862946
-57.0,75.0,628.8822987261116
-57.0,81.0,692.125184823356
-57.0,87.0,750.7285928835219
-57.0,93.0,804.0504517043504
-57.0,99.0,851.5065558422842
-57.0,105.0,892.5769662895601
-57.0,111.0,926.8117070347815
-57.0,117.0,953.835695094264
-57.0,123.0,973.3528499996945
-57.0,129.0,985.1493377177021
-57.0,135.0,989.0959134602746
-57.0,141.0,985.1493377177021
-57.0,147.0,973.3528499996945
-57.0,153.0,953.835695094264
