Latitude,Longitude,Power_W_m2
-87.0,-177.0,443.5010701312899
-87.0,-171.0,439.1283754281095
-87.0,-165.0,435.3440705534772
-87.0,-159.0,432.18961714351593
-87.0,-153.0,429.6995760498972
-87.0,-147.0,427.90122868391717
-87.0,-141.0,426.8142781156459
-87.0,-135.0,426.45063320296856
-87.0,-129.0,426.8142781156459
-87.0,-123.0,427.90122868391717
-87.0,-117.0,429.6995760498972
-87.0,-111.0,432.18961714351593
-87.0,-105.0,435.3440705534772
-87.0,-99.0,439.12837542810956
-87.0,-93.0,443.5010701312899
-87.0,-87.0,448.4142465048049
-87.0,-81.0,453.8140747601582
-87.0,-75.0,459.64139324899736
-87.0,-69.0,465.8323566505139
-87.0,-63.0,472.3191354741383
-87.0,-57.0,479.0306592136333
-87.0,-51.0,485.8933950104324
-87.0,-45.0,492.83215329502605
-87.0,-39.0,499.7709115796197
-87.0,-33.0,506.6336473764188
-87.0,-27.0,513.3451711159138
-87.0,-21.0,519.8319499395383
-87.0,-15.0,526.0229133410547
-87.0,-9.0,531.8502318298939
-87.0,-3.0,537.2500600852472
-87.0,3.0,542.1632364587622
-87.0,9.0,546.5359311619426
-87.0,15.0,550.3202360365749
-87.0,21.0,553.4746894465362
-87.0,27.0,555.964730540155
-87.0,33.0,557.763077906135
-87.0,39.0,558.8500284744061
-87.0,45.0,559.2136733870835
-87.0,51.0,558.8500284744061
-87.0,57.0,557.763077906135
-87.0,63.0,555.964730540155
-87.0,69.0,553.4746894465362
-87.0,75.0,550.3202360365749
-87.0,81.0,546.5359311619426
-87.0,87.0,542.1632364587622
-87.0,93.0,537.2500600852472
-87.0,99.0,531.8502318298939
-87.0,105.0,526.0229133410547
-87.0,111.0,519.8319499395383
-87.0,117.0,513.3451711159138
-87.0,123.0,506.6336473764188
-87.0,129.0,499.7709115796197
-87.0,135.0,492.83215329502605
-87.0,141.0,485.8933950104324
-87.0,147.0,479.0306592136333
-87.0,153.0,472.3191354741383
-87.0,159.0,465.8323566505139
-87.0,165.0,459.64139324899736
-87.0,171.0,453.8140747601582
-87.0,177.0,448.4142465048049
-81.0,-177.0,339.97981327089394
-81.0,-171.0,326.9096373195663
-81.0,-165.0,315.59818433179237
-81.0,-159.0,306.16938495358
-81.0,-153.0,298.72654308401997
-81.0,-147.0,293.35120405615
-81.0,-141.0,290.10226120922147
-81.0,-135.0,289.01531064095025
-81.0,-129.0,290.10226120922147
-81.0,-123.0,293.35120405615
-81.0,-117.0,298.72654308401997
-81.0,-111.0,306.16938495358
-81.0,-105.0,315.5981843317923
-81.0,-99.0,326.9096373195663
-81.0,-93.0,339.97981327089406
-81.0,-87.0,354.66551260294256
-81.0,-81.0,370.80583572065
-81.0,-75.0,388.22394586635886
-81.0,-69.0,406.7290065803389
-81.0,-63.0,426.1182725449749
-81.0,-57.0,446.17931090489344
-81.0,-51.0,466.6923287257812
-81.0,-45.0,487.4325810917675
-81.0,-39.0,508.1728334577538
-81.0,-33.0,528.6858512786416
-81.0,-27.0,548.7468896385601
-81.0,-21.0,568.136155603196
-81.0,-15.0,586.6412163171761
-81.0,-9.0,604.059326462885
-81.0,-3.0,620.1996495805924
-81.0,3.0,634.885348912641
-81.0,9.0,647.9555248639688
-81.0,15.0,659.2669778517427
-81.0,21.0,668.6957772299551
-81.0,27.0,676.138619099515
-81.0,33.0,681.5139581273849
-81.0,39.0,684.7629009743135
-81.0,45.0,685.8498515425848
-81.0,51.0,684.7629009743135
-81.0,57.0,681.5139581273849
-81.0,63.0,676.138619099515
-81.0,69.0,668.6957772299551
-81.0,75.0,659.2669778517427
-81.0,81.0,647.9555248639688
-81.0,87.0,634.885348912641
-81.0,93.0,620.1996495805924
-81.0,99.0,604.059326462885
-81.0,105.0,586.6412163171761
-81.0,111.0,568.136155603196
-81.0,117.0,548.7468896385601
-81.0,123.0,528.6858512786416
-81.0,129.0,508.1728334577538
-81.0,135.0,487.4325810917675
-81.0,141.0,466.6923287257812
-81.0,147.0,446.17931090489344
-81.0,153.0,426.1182725449749
-81.0,159.0,406.7290065803389
-81.0,165.0,388.22394586635886
-81.0,171.0,370.80583572065
-81.0,177.0,354.66551260294256
-75.0,-177.0,232.73366643095238
-75.0,-171.0,211.10920881431014
-75.0,-165.0,192.39453835940245
-75.0,-159.0,176.79469691202974
-75.0,-153.0,164.48059959956615
-75.0,-147.0,155.58716224905763
-75.0,-141.0,150.2118232211877
-75.0,-135.0,148.41347585520768
-75.0,-129.0,150.2118232211877
-75.0,-123.0,155.5871622490576
-75.0,-117.0,164.48059959956618
-75.0,-111.0,176.79469691202976
-75.0,-105.0,192.3945383594024
-75.0,-99.0,211.1092088143102
-75.0,-93.0,232.7336664309524
-75.0,-87.0,257.03098912647243
-75.0,-81.0,283.7349703488767
-75.0,-75.0,312.5530356917251
-75.0,-69.0,343.16944840055334
-75.0,-63.0,375.2487686508275
-75.0,-57.0,408.4395286968561
-75.0,-51.0,442.37808362596184
-75.0,-45.0,476.6925955282423
-75.0,-39.0,511.00710743052275
-75.0,-33.0,544.9456623596285
-75.0,-27.0,578.1364224056572
-75.0,-21.0,610.2157426559313
-75.0,-15.0,640.8321553647597
-75.0,-9.0,669.6502207076079
-75.0,-3.0,696.3542019300121
-75.0,3.0,720.6515246255321
-75.0,9.0,742.2759822421743
-75.0,15.0,760.9906526970822
-75.0,21.0,776.5904941444549
-75.0,27.0,788.9045914569184
-75.0,33.0,797.798028807427
-75.0,39.0,803.1733678352969
-75.0,45.0,804.9717152012769
-75.0,51.0,803.1733678352969
-75.0,57.0,797.798028807427
-75.0,63.0,788.9045914569184
-75.0,69.0,776.5904941444549
-75.0,75.0,760.9906526970822
-75.0,81.0,742.2759822421743
-75.0,87.0,720.6515246255321
-75.0,93.0,696.3542019300121
-75.0,99.0,669.6502207076079
-75.0,105.0,640.8321553647597
-75.0,111.0,610.2157426559313
-75.0,117.0,578.1364224056572
-75.0,123.0,544.9456623596285
-75.0,129.0,511.00710743052275
-75.0,135.0,476.6925955282423
-75.0,141.0,442.37808362596184
-75.0,147.0,408.4395286968561
-75.0,153.0,375.2487686508275
-75.0,159.0,343.16944840055334
-75.0,165.0,312.5530356917251
-75.0,171.0,283.7349703488767
-75.0,177.0,257.03098912647243
-69.0,-177.0,122.93764083894217
-69.0,-171.0,92.99582363984206
-69.0,-165.0,67.08297756360106
-69.0,-159.0,45.483009174442145
-69.0,-153.0,28.432572246120884
-69.0,-147.0,16.11847493365737
-69.0,-141.0,8.675633064097342
-69.0,-135.0,6.18559197047857
-69.0,-129.0,8.675633064097342
-69.0,-123.0,16.118474933657296
-69.0,-117.0,28.43257224612096
-69.0,-111.0,45.48300917444222
-69.0,-105.0,67.08297756360106
-69.0,-99.0,92.99582363984213
-69.0,-93.0,122.9376408389422
-69.0,-87.0,156.58038034594
-69.0,-81.0,193.55544526660108
-69.0,-75.0,233.45772905212485
-69.0,-69.0,275.85005393126715
-69.0,-63.0,320.26796072148824
-69.0,-57.0,366.2247975409496
-69.0,-51.0,413.2170516683709
-69.0,-45.0,460.7298661337709
-69.0,-39.0,508.2426805991708
-69.0,-33.0,555.2349347265922
-69.0,-27.0,601.1917715460535
-69.0,-21.0,645.6096783362746
-69.0,-15.0,688.002003215417
-69.0,-9.0,727.9042870009408
-69.0,-3.0,764.8793519216017
-69.0,3.0,798.5220914285997
-69.0,9.0,828.4639086276997
-69.0,15.0,854.3767547039407
-69.0,21.0,875.9767230930996
-69.0,27.0,893.0271600214209
-69.0,33.0,905.3412573338844
-69.0,39.0,912.7840992034444
-69.0,45.0,915.2741402970632
-69.0,51.0,912.7840992034444
-69.0,57.0,905.3412573338844
-69.0,63.0,893.0271600214209
-69.0,69.0,875.9767230930996
-69.0,75.0,854.3767547039407
-69.0,81.0,828.4639086276997
-69.0,87.0,798.5220914285997
-69.0,93.0,764.8793519216017
-69.0,99.0,727.9042870009408
-69.0,105.0,688.002003215417
-69.0,111.0,645.6096783362746
-69.0,117.0,601.1917715460535
-69.0,123.0,555.2349347265922
-69.0,129.0,508.2426805991708
-69.0,135.0,460.7298661337709
-69.0,141.0,413.2170516683709
-69.0,147.0,366.2247975409496
-69.0,153.0,320.26796072148824
-69.0,159.0,275.85005393126715
-69.0,165.0,233.45772905212485
-69.0,171.0,193.55544526660108
-69.0,177.0,156.58038034594
-63.0,-177.0,11.794684727545622
-63.0,-171.0,0.0
-63.0,-165.0,0.0
-63.0,-159.0,0.0
-63.0,-153.0,0.0
-63.0,-147.0,0.0
-63.0,-141.0,0.0
-63.0,-135.0,0.0
-63.0,-129.0,0.0
-63.0,-123.0,0.0
-63.0,-117.0,0.0
-63.0,-111.0,0.0
-63.0,-105.0,0.0
-63.0,-99.0,0.0
-63.0,-93.0,11.794684727545622
-63.0,-87.0,54.4142441517866
-63.0,-81.0,101.25528622190396
-63.0,-75.0,151.80461067885915
-63.0,-69.0,205.5083885457754
-63.0,-63.0,261.7782299941052
-63.0,-57.0,319.9976308657188
-63.0,-51.0,379.5287272214743
-63.0,-45.0,439.71928391201516
-63.0,-39.0,499.90984060255596
-63.0,-33.0,559.4409369583116
-63.0,-27.0,617.6603378299252
-63.0,-21.0,673.9301792782549
-63.0,-15.0,727.6339571451713
-63.0,-9.0,778.1832816021264
-63.0,-3.0,825.0243236722436
-63.0,3.0,867.6438830964846
-63.0,9.0,905.5750110630813
-63.0,15.0,938.4021261964326
-63.0,21.0,965.7655677536221
-63.0,27.0,987.3655361427809
